"city1","city2","duration_trajet"
"Philadelphie","Atlanta",11.7372222222222
"Cleveland","Atlanta",10.3430555555556
"Los Angeles","Atlanta",31.0508333333333
"New York","Atlanta",13.1191666666667
"Minnesota","Atlanta",18.6486111111111
"Detroit","Atlanta",10.7777777777778
"Chicago","Atlanta",10.7036111111111
"Atlanta","Atlanta",0
"New Orleans","Atlanta",6.65444444444444
"New Jersey","Atlanta",12.6733333333333
"Orlando","Atlanta",6.13916666666667
"Memphis","Atlanta",5.67027777777778
"Golden State","Atlanta",33.1608333333333
"Charlotte","Atlanta",3.75
"Oklahoma","Atlanta",12.4316666666667
"Denver","Atlanta",20.0002777777778
"Indiana","Atlanta",8.52666666666667
"Washington D.C","Atlanta",9.55861111111111
"Portland","Atlanta",37.3208333333333
"Milwaukee","Atlanta",12.04
"Dallas","Atlanta",11.2486111111111
"Vancover","Atlanta",40.3111111111111
"Sacramento","Atlanta",35.5313888888889
"Utah","Atlanta",27.5852777777778
"Toronto","Atlanta",14.4136111111111
"Seattle","Atlanta",37.9591666666667
"Houston","Atlanta",11.2438888888889
"Boston","Atlanta",16.345
"San Antonio","Atlanta",14.0525
"Brooklyn","Atlanta",13.3013888888889
"Phoenix","Atlanta",26.1063888888889
"Miami","Atlanta",9.25833333333333
"Atlanta","Boston",16.2480555555556
"Los Angeles","Boston",42.7441666666667
"Denver","Boston",28.5175
"San Antonio","Boston",29.8108333333333
"Phoenix","Boston",38.6191666666667
"Orlando","Boston",18.7838888888889
"Dallas","Boston",25.9705555555556
"Charlotte","Boston",12.8191666666667
"Chicago","Boston",14.64
"Toronto","Boston",8.32555555555555
"New Orleans","Boston",22.4080555555556
"Houston","Boston",27.0022222222222
"Detroit","Boston",10.7861111111111
"Washington D.C","Boston",7.0825
"Portland","Boston",44.5816666666667
"Vancover","Boston",46.2766666666667
"Indiana","Boston",14.0880555555556
"Miami","Boston",21.6747222222222
"Philadelphie","Boston",5.04916666666667
"Sacramento","Boston",43.4288888888889
"Minnesota","Boston",23.0616666666667
"Boston","Boston",0
"Cleveland","Boston",9.51583333333333
"Memphis","Boston",19.4572222222222
"Golden State","Boston",44.8544444444444
"Utah","Boston",36.0688888888889
"New York","Boston",3.62277777777778
"New Jersey","Boston",4.88944444444444
"Seattle","Boston",43.9247222222222
"Oklahoma","Boston",25.1302777777778
"Milwaukee","Boston",16.0466666666667
"Brooklyn","Boston",3.68833333333333
"Denver","Brooklyn",26.2155555555556
"Atlanta","Brooklyn",13.2161111111111
"Charlotte","Brooklyn",9.78722222222222
"Seattle","Brooklyn",41.6227777777778
"Los Angeles","Brooklyn",40.4425
"Houston","Brooklyn",24.0325
"Washington D.C","Brooklyn",4.05027777777778
"Philadelphie","Brooklyn",2.01694444444444
