id_season,tm,Name,Position,Wt,Experience,Age,cm_size,salary
2023,ATL,Saddiq Bey,SF,215,2,24.03,200.66,2959080.0
2023,ATL,Bogdan Bogdanovic,SG,220,5,30.67,195.58,18000000.0
2023,ATL,Clint Capela,C,240,8,28.93,208.28,18706896.0
2023,ATL,John Collins,PF,235,5,25.57,205.74,23500000.0
2023,ATL,Jarrett Culver,SF,195,3,24.16,198.12,6395160.0
2023,ATL,Bruno Fernando,C,240,3,24.68,205.74,2717391.0
2023,ATL,Trent Forrest,SG,210,2,24.85,193.04,
2023,ATL,AJ Griffin,SF,222,0,19.65,198.12,3536160.0
2023,ATL,Aaron Holiday,PG,185,4,26.55,182.88,1836090.0
2023,ATL,Justin Holiday,SF,180,9,34.05,198.12,569821.0
2023,ATL,DeAndre Hunter,SF,225,3,25.38,203.2,9835881.0
2023,ATL,Jalen Johnson,SF,220,1,21.33,205.74,2792640.0
2023,ATL,Frank Kaminsky,C,240,7,30.05,213.36,1836090.0
2023,ATL,Vit Krejci,PG,195,1,22.83,203.2,1563518.0
2023,ATL,Tyrese Martin,SG,215,0,24.12,198.12,1017781.0
2023,ATL,Garrison Mathews,SG,215,3,26.49,195.58,2000000.0
2023,ATL,Dejounte Murray,SG,180,5,26.58,195.58,16571120.0
2023,ATL,Onyeka Okongwu,C,235,2,22.35,203.2,6395160.0
2023,ATL,Donovan Williams,SG,190,0,21.62,198.12,
2023,ATL,Trae Young,PG,164,4,24.58,185.42,37095000.0
2023,BOS,Malcolm Brogdon,PG,229,6,30.36,193.04,22600000.0
2023,BOS,Jaylen Brown,SF,223,6,26.49,198.12,28741071.0
2023,BOS,Justin Champagnie,SF,200,1,21.81,198.12,28241.0
2023,BOS,JD Davison,SG,195,0,20.54,185.42,
2023,BOS,Blake Griffin,C,250,12,34.1,205.74,1836090.0
2023,BOS,Sam Hauser,SF,215,1,25.36,203.2,1563518.0
2023,BOS,Al Horford,C,240,15,36.89,205.74,26500000.0
2023,BOS,Justin Jackson,SF,220,5,28.07,203.2,1836090.0
2023,BOS,Mfiondu Kabengele,PF,250,2,25.68,205.74,1701593.0
2023,BOS,Luke Kornet,C,250,5,27.77,218.44000000000003,2133278.0
2023,BOS,Mike Muscala,C,240,9,31.81,208.28,3500000.0
2023,BOS,Payton Pritchard,PG,195,2,25.22,185.42,2239200.0
2023,BOS,Marcus Smart,PG,220,8,29.13,190.5,17207141.0
2023,BOS,Jayson Tatum,SF,210,5,25.13,203.2,28103500.0
2023,BOS,Noah Vonleh,C,257,7,27.66,208.28,1836090.0
2023,BOS,Derrick White,SG,190,5,28.8,193.04,16892857.0
2023,BOS,Grant Williams,PF,236,3,24.39,198.12,4306281.0
2023,BOS,Robert Williams,C,237,4,25.51,205.74,
2023,BRK,Mikal Bridges,SG,209,4,26.64,198.12,20100000.0
2023,BRK,Moses Brown,C,245,3,23.52,218.44000000000003,19186.0
2023,BRK,Nic Claxton,C,215,3,24.01,210.82,8500000.0
2023,BRK,Seth Curry,SG,185,8,32.66,185.42,8496500.0
2023,BRK,Spencer Dinwiddie,PG,215,8,30.04,195.58,19500000.0
2023,BRK,David Duke Jr,SG,205,1,23.52,195.58,28241.0
2023,BRK,Kevin Durant,PF,240,14,34.56,210.82,44119845.0
2023,BRK,Kessler Edwards,SF,215,1,22.69,203.2,1637966.0
2023,BRK,Dorian FinneySmith,PF,220,6,29.96,200.66,12939648.0
